"country_name","windowsize","bandwidth","nr_arcoefs","nr_macoefs","arima_convergence_warning","variance_tau","variance_first_diff_tau","autocovariance_tau","autocorrelation_tau","decay_time_tau","mean_tau","index_of_dispersion_tau","coefficient_of_variation_tau","skewness_tau","kurtosis_tau","variance_pvalue","variance_first_diff_pvalue","autocovariance_pvalue","autocorrelation_pvalue","decay_time_pvalue","mean_pvalue","index_of_dispersion_pvalue","coefficient_of_variation_pvalue","skewness_pvalue","kurtosis_pvalue","variance_pvalue_abs","variance_first_diff_pvalue_abs","autocovariance_pvalue_abs","autocorrelation_pvalue_abs","decay_time_pvalue_abs","mean_pvalue_abs","index_of_dispersion_pvalue_abs","coefficient_of_variation_pvalue_abs","skewness_pvalue_abs","kurtosis_pvalue_abs","backward_only","cut_first_window"
"Italy",8,10,5,4,0,-0.223,0.141,0.153,0.144,0.114,-0.247,-0.172,-0.077,0.544,-0.192,0.866,0,0.226,0.236,0.284,0.654,0.806,0.662,0,0.788,0.36,0,0.472,0.512,0.604,0.66,0.402,0.682,0,0.37,TRUE,TRUE
"Latvia",8,10,2,1,1,-0.206,-0.134,0.59,0.55,0.603,-0.757,0.174,0.538,-0.003,0.137,0.718,0.762,0.032,0.046,0.032,1,0.126,0,0.526,0.34,0.656,0.376,0.098,0.132,0.11,0,0.282,0,0.99,0.718,TRUE,TRUE
"Lithuania",8,10,1,1,1,-0.684,0.076,-0.474,-0.322,-0.331,-0.724,-0.24,0.52,0.322,0.322,0.976,0.234,0.872,0.76,0.771,0.926,0.784,0.022,0.202,0.168,0.112,0.68,0.344,0.54,0.511,0.15,0.454,0.042,0.458,0.472,TRUE,TRUE
"Luxembourg",8,10,5,5,1,-0.793,0.193,-0.496,-0.291,-0.313,-0.817,-0.647,-0.04,0.294,0.213,1,0,0.978,0.874,0.88,1,1,0.612,0.014,0.136,0,0,0.048,0.262,0.242,0,0,0.78,0.03,0.316,TRUE,TRUE
"Malta",8,10,2,1,1,-0.783,-0.329,-0.453,-0.463,-0.582,-0.767,-0.446,0.216,-0.272,-0.237,0.996,0.968,0.83,0.84,0.898,1,0.978,0.11,0.804,0.682,0.024,0.042,0.334,0.288,0.177,0,0.034,0.268,0.44,0.576,TRUE,TRUE
"Netherlands",8,10,1,1,1,-0.581,-0.114,-0.581,-0.676,-0.676,-0.971,-0.467,-0.286,-0.629,0.657,0.966,0.604,0.954,0.974,0.974,1,0.958,0.842,0.92,0.02,0.198,0.58,0.188,0.074,0.07,0.002,0.114,0.334,0.146,0.06,TRUE,TRUE
"Poland",8,10,1,1,1,-0.503,0.058,-0.529,-0.317,-0.317,-0.339,-0.376,-0.275,0.508,0.683,0.938,0.2,0.922,0.794,0.788,0.776,0.946,0.874,0.052,0.006,0.194,0.682,0.154,0.404,0.398,0.474,0.108,0.276,0.108,0.022,TRUE,TRUE
"Portugal",8,10,2,2,1,-0.61,-0.163,-0.114,0.534,0.537,-0.686,-0.352,-0.239,-0.072,0.064,0.968,0.9,0.62,0.038,0.046,0.98,0.954,0.864,0.582,0.444,0.068,0.146,0.77,0.106,0.118,0.038,0.086,0.254,0.774,0.86,TRUE,TRUE
"Romania",8,10,2,2,0,-0.307,0.03,0.004,0.247,0.247,-0.827,-0.126,0.03,0.403,0.351,0.824,0.304,0.492,0.276,0.276,0.996,0.712,0.496,0.158,0.158,0.522,0.892,1,0.61,0.61,0.01,0.63,0.922,0.282,0.364,TRUE,TRUE
"Slovakia",8,10,1,2,1,-0.835,0.271,-0.424,-0.457,-0.501,-0.807,-0.67,0.231,0.076,-0.257,1,0.002,0.908,0.938,0.956,1,1,0.138,0.364,0.798,0,0.002,0.186,0.13,0.084,0.002,0,0.264,0.73,0.358,TRUE,TRUE
"Slovenia",8,10,1,4,0,-0.257,0.196,-0.607,-0.507,-0.504,-0.199,-0.062,0.065,0.519,0.15,0.83,0.006,0.99,0.96,0.956,0.722,0.662,0.402,0.01,0.252,0.446,0.03,0.026,0.09,0.104,0.6,0.752,0.742,0.02,0.594,TRUE,TRUE
"Sweden",8,10,1,4,0,-0.602,-0.16,-0.654,-0.506,-0.506,-0.894,-0.446,-0.126,-0.117,0.255,0.952,0.654,0.962,0.848,0.848,0.998,0.968,0.662,0.618,0.218,0.188,0.464,0.122,0.28,0.278,0.004,0.074,0.634,0.798,0.516,TRUE,TRUE
"United Kingdom",8,10,5,2,1,0.162,-0.01,-0.076,-0.238,-0.238,-0.03,0.203,0.149,0.759,-0.59,0.386,0.448,0.53,0.712,0.696,0.524,0.216,0.296,0.006,0.99,0.704,0.936,0.864,0.478,0.506,0.958,0.386,0.522,0.008,0.024,TRUE,TRUE
"Austria",9,10,1,3,0,-0.709,-0.153,-0.39,-0.389,-0.482,-0.828,-0.585,-0.144,0.405,0.004,1,0.994,0.944,0.926,0.974,1,1,0.8,0.012,0.474,0,0.012,0.174,0.15,0.066,0,0,0.382,0.016,0.984,TRUE,TRUE
"Belgium",9,10,5,5,1,-0.762,0.137,-0.111,-0.054,-0.062,-0.693,-0.619,-0.333,0.374,0.142,1,0.022,0.574,0.51,0.514,1,1,0.994,0.04,0.314,0,0.058,0.756,0.842,0.84,0,0,0.024,0.07,0.606,TRUE,TRUE
"Bulgaria",9,10,1,1,1,0.294,0.132,0.603,0.574,0.584,-0.779,0.706,0.765,-0.309,-0.721,0.402,0.184,0.098,0.134,0.105,0.982,0.004,0.004,0.718,0.96,0.664,0.574,0.228,0.274,0.228,0.046,0.018,0.01,0.602,0.06,TRUE,TRUE
"Croatia",9,10,1,1,1,-0.688,-0.082,-0.228,0.029,0.042,-0.788,-0.088,0.524,-0.124,0.488,0.96,0.546,0.668,0.478,0.472,0.944,0.636,0.03,0.616,0.088,0.112,0.676,0.704,0.962,0.952,0.096,0.776,0.044,0.81,0.252,TRUE,TRUE
"Cyprus",9,10,1,2,1,-0.511,0.244,-0.274,-0.201,-0.27,-0.601,-0.161,0.356,0.374,-0.101,1,0,0.894,0.834,0.91,0.982,0.808,0.022,0.008,0.738,0.01,0,0.22,0.376,0.232,0.03,0.37,0.05,0.016,0.608,TRUE,TRUE
"Czechia",9,10,1,5,0,-0.671,-0.046,-0.49,-0.401,-0.403,-0.267,-0.624,-0.517,0.438,0.009,0.998,0.574,0.966,0.948,0.946,0.738,1,0.994,0.028,0.454,0.012,0.592,0.086,0.156,0.16,0.484,0,0.018,0.064,0.978,TRUE,TRUE
"Denmark",9,10,1,1,1,0.2,-0.467,1,1,1,-1,0.6,0.867,-0.6,0.067,0.586,0.92,0.038,0.046,0.007,1,0.154,0.046,0.796,0.39,0.88,0.266,0.096,0.098,0.017,0.046,0.272,0.076,0.502,1,TRUE,TRUE
"Estonia",9,10,1,1,0,-0.096,0.271,-0.197,-0.254,-0.262,-0.086,-0.012,0.116,0.397,0.066,0.652,0.004,0.732,0.778,0.786,0.584,0.546,0.33,0.058,0.376,0.828,0.016,0.682,0.542,0.522,0.846,0.964,0.608,0.122,0.858,TRUE,TRUE
"Finland",9,10,2,5,1,-0.13,0.007,0.181,0.281,0.248,-0.546,0.411,0.55,0.302,0.148,0.71,0.294,0.332,0.242,0.289,0.954,0.022,0.002,0.104,0.266,0.704,0.96,0.59,0.414,0.5,0.098,0.036,0.006,0.2,0.61,TRUE,TRUE
"France",9,10,2,5,0,-0.037,0.05,-0.626,-0.499,-0.522,-0.174,0.079,0.109,0.283,-0.077,0.554,0.074,1,0.998,1,0.808,0.27,0.19,0.014,0.65,0.896,0.232,0,0.008,0.006,0.37,0.52,0.374,0.022,0.674,TRUE,TRUE
"Germany",9,10,4,5,0,-0.833,-0.076,-0.755,-0.526,-0.526,-0.913,-0.624,-0.03,0.353,-0.188,0.998,0.692,1,0.98,0.978,1,1,0.6,0.092,0.75,0.002,0.428,0.004,0.054,0.056,0,0,0.898,0.166,0.51,TRUE,TRUE
"Greece",9,10,3,1,0,-0.608,0.009,-0.134,-0.206,-0.237,-0.75,-0.443,-0.167,0.059,-0.094,0.982,0.33,0.66,0.742,0.766,1,0.998,0.902,0.36,0.612,0.034,0.924,0.698,0.542,0.51,0,0.004,0.236,0.774,0.756,TRUE,TRUE
"Hungary",9,10,2,2,1,-0.749,0.339,0.066,-0.191,0.011,-0.512,-0.664,-0.436,0.128,-0.442,1,0.006,0.432,0.682,0.482,0.914,1,0.984,0.33,0.89,0.008,0.012,0.874,0.626,0.985,0.164,0,0.034,0.716,0.21,TRUE,TRUE
"Ireland",9,10,2,2,1,-0.296,0.039,-0.237,-0.19,-0.203,-0.119,-0.406,-0.382,0.338,-0.136,0.87,0.17,0.764,0.73,0.746,0.636,0.97,0.97,0.04,0.674,0.32,0.616,0.52,0.598,0.578,0.71,0.046,0.048,0.088,0.604,TRUE,TRUE
"Italy",9,10,5,4,0,-0.238,0.146,0.163,0.155,0.146,-0.228,-0.189,-0.114,0.53,-0.231,0.83,0.002,0.26,0.254,0.27,0.696,0.792,0.688,0,0.844,0.362,0.004,0.528,0.516,0.544,0.614,0.404,0.61,0,0.268,TRUE,TRUE
"Latvia",9,10,2,1,1,-0.218,-0.132,0.649,0.588,0.656,-0.756,0.212,0.612,-0.015,0.138,0.706,0.738,0.022,0.04,0.02,1,0.106,0,0.508,0.318,0.614,0.42,0.076,0.104,0.05,0,0.194,0,0.968,0.744,TRUE,TRUE
"Lithuania",9,10,1,1,1,-0.774,0.137,-0.542,-0.373,-0.407,-0.704,-0.386,0.464,0.302,0.38,0.994,0.154,0.838,0.72,0.742,0.944,0.9,0.034,0.306,0.188,0.044,0.5,0.296,0.54,0.489,0.114,0.184,0.09,0.59,0.44,TRUE,TRUE
"Luxembourg",9,10,5,5,1,-0.796,0.158,-0.539,-0.311,-0.321,-0.811,-0.653,-0.06,0.325,0.227,1,0,0.986,0.862,0.872,1,1,0.64,0.018,0.162,0,0.004,0.028,0.29,0.27,0,0,0.7,0.036,0.306,TRUE,TRUE
"Malta",9,10,2,1,1,-0.781,-0.165,-0.522,-0.47,-0.536,-0.741,-0.467,0.313,-0.269,-0.246,0.994,0.734,0.874,0.824,0.839,1,0.988,0.06,0.734,0.666,0.026,0.4,0.242,0.322,0.27,0,0.02,0.11,0.508,0.588,TRUE,TRUE
"Netherlands",9,10,1,1,1,-0.639,-0.189,-0.621,-0.758,-0.758,-0.968,-0.474,-0.284,-0.653,0.649,0.958,0.702,0.952,0.982,0.982,0.998,0.966,0.816,0.93,0.018,0.188,0.416,0.202,0.05,0.052,0.004,0.102,0.38,0.17,0.072,TRUE,TRUE
"Poland",9,10,1,1,1,-0.556,0.048,-0.573,-0.328,-0.328,-0.288,-0.447,-0.316,0.578,0.789,0.938,0.244,0.936,0.78,0.776,0.714,0.96,0.912,0.04,0.002,0.188,0.774,0.162,0.476,0.48,0.574,0.066,0.228,0.092,0.004,TRUE,TRUE
"Portugal",9,10,2,2,1,-0.613,-0.282,-0.085,0.589,0.584,-0.673,-0.391,-0.274,-0.109,0.133,0.982,0.996,0.57,0.054,0.058,0.974,0.952,0.874,0.662,0.3,0.076,0.008,0.878,0.114,0.122,0.05,0.086,0.234,0.71,0.7,TRUE,TRUE
"Romania",9,10,2,2,0,-0.4,-0.038,-0.086,0.21,0.21,-0.81,-0.267,-0.133,0.581,0.371,0.83,0.472,0.566,0.308,0.311,0.996,0.828,0.684,0.068,0.16,0.458,0.86,0.87,0.7,0.703,0.02,0.33,0.654,0.15,0.382,TRUE,TRUE
"Slovakia",9,10,1,2,1,-0.857,0.109,-0.436,-0.415,-0.472,-0.798,-0.702,0.251,-0.038,-0.297,1,0.054,0.91,0.914,0.938,0.998,1,0.12,0.524,0.784,0,0.262,0.216,0.212,0.152,0.004,0,0.226,0.882,0.324,TRUE,TRUE
"Slovenia",9,10,1,4,0,-0.232,0.292,-0.605,-0.538,-0.538,-0.157,-0.089,0.019,0.566,0.177,0.824,0,0.984,0.968,0.96,0.656,0.66,0.47,0.008,0.252,0.488,0,0.044,0.072,0.09,0.684,0.69,0.946,0.014,0.53,TRUE,TRUE
"Sweden",9,10,1,4,0,-0.657,-0.067,-0.667,-0.59,-0.59,-0.883,-0.514,-0.114,-0.143,0.324,0.958,0.518,0.938,0.878,0.864,0.996,0.984,0.69,0.652,0.154,0.192,0.736,0.208,0.274,0.296,0.006,0.04,0.646,0.748,0.446,TRUE,TRUE
"United Kingdom",9,10,5,2,1,0.187,0.089,-0.136,-0.304,-0.304,0.027,0.139,0.062,0.755,-0.62,0.344,0.132,0.596,0.784,0.778,0.518,0.254,0.358,0.006,0.982,0.69,0.368,0.756,0.4,0.408,0.974,0.542,0.73,0.006,0.03,TRUE,TRUE
"Austria",10,10,1,3,0,-0.736,-0.068,-0.384,-0.409,-0.562,-0.823,-0.604,-0.183,0.455,0.02,1,0.644,0.914,0.934,0.988,1,1,0.866,0.006,0.432,0.002,0.45,0.2,0.14,0.03,0,0,0.26,0.008,0.926,TRUE,TRUE
"Belgium",10,10,5,5,1,-0.758,0.148,-0.162,-0.096,-0.123,-0.68,-0.639,-0.375,0.371,0.11,0.996,0.03,0.67,0.566,0.61,0.998,1,0.998,0.054,0.358,0.006,0.066,0.566,0.764,0.688,0.004,0,0.006,0.084,0.728,TRUE,TRUE
"Bulgaria",10,10,1,1,1,0.35,0.1,0.567,0.65,0.739,-0.8,0.75,0.783,-0.45,-0.683,0.37,0.244,0.154,0.132,0.032,0.978,0,0,0.786,0.938,0.604,0.682,0.342,0.252,0.089,0.046,0.002,0.002,0.436,0.124,TRUE,TRUE
"Croatia",10,10,1,1,1,-0.721,-0.15,-0.268,0.098,0.105,-0.762,-0.131,0.42,-0.262,0.656,0.986,0.678,0.668,0.466,0.464,0.944,0.662,0.088,0.664,0.036,0.114,0.514,0.722,0.922,0.908,0.112,0.666,0.174,0.686,0.102,TRUE,TRUE
"Cyprus",10,10,1,2,1,-0.537,0.25,-0.291,-0.204,-0.272,-0.592,-0.165,0.323,0.365,-0.109,0.996,0,0.896,0.8,0.882,0.992,0.834,0.048,0.014,0.67,0.012,0,0.218,0.408,0.241,0.024,0.368,0.08,0.03,0.6,TRUE,TRUE
"Czechia",10,10,1,5,0,-0.677,-0.032,-0.456,-0.391,-0.389,-0.236,-0.636,-0.577,0.422,0.001,1,0.49,0.912,0.89,0.882,0.664,1,1,0.048,0.478,0.012,0.75,0.168,0.228,0.238,0.592,0,0.002,0.074,1,TRUE,TRUE
"Denmark",10,10,1,1,1,0.4,-0.2,0.8,0.8,0.8,-1,0.6,0.8,-0.4,-0.4,0.538,0.754,0.154,0.148,0.086,1,0.194,0.086,0.668,0.64,0.748,0.77,0.336,0.33,0.257,0.104,0.354,0.142,0.788,0.728,TRUE,TRUE
"Estonia",10,10,1,1,0,-0.079,0.173,-0.187,-0.241,-0.247,-0.028,-0.007,0.082,0.4,0.121,0.624,0.05,0.702,0.758,0.758,0.502,0.494,0.352,0.098,0.354,0.878,0.202,0.692,0.558,0.556,0.948,0.966,0.732,0.212,0.72,TRUE,TRUE
"Finland",10,10,2,5,1,-0.149,0.004,0.152,0.275,0.247,-0.529,0.402,0.533,0.349,0.242,0.694,0.382,0.346,0.234,0.276,0.93,0.034,0,0.078,0.194,0.698,0.986,0.658,0.428,0.486,0.148,0.06,0.004,0.136,0.406,TRUE,TRUE
"France",10,10,2,5,0,-0.053,0.068,-0.633,-0.493,-0.523,-0.157,0.027,0.033,0.244,-0.119,0.602,0.026,1,0.99,0.998,0.762,0.412,0.386,0.058,0.744,0.798,0.094,0,0.01,0.002,0.458,0.832,0.796,0.088,0.51,TRUE,TRUE
"Germany",10,10,4,5,0,-0.829,-0.021,-0.741,-0.537,-0.537,-0.909,-0.615,-0.025,0.342,-0.198,1,0.392,0.998,0.948,0.944,1,0.998,0.568,0.112,0.692,0,0.868,0.012,0.104,0.108,0,0.002,0.912,0.208,0.534,TRUE,TRUE
"Greece",10,10,3,1,0,-0.624,-0.022,-0.077,-0.17,-0.143,-0.738,-0.47,-0.217,-0.01,-0.116,0.98,0.45,0.578,0.676,0.633,1,0.998,0.94,0.5,0.646,0.052,0.858,0.836,0.654,0.731,0,0.002,0.124,0.956,0.7,TRUE,TRUE
"Hungary",10,10,2,2,1,-0.748,0.391,0.095,-0.206,0.004,-0.473,-0.674,-0.44,0.132,-0.458,0.98,0.002,0.41,0.646,0.495,0.906,1,0.99,0.366,0.868,0.038,0.002,0.874,0.664,0.993,0.218,0,0.038,0.73,0.23,TRUE,TRUE
"Ireland",10,10,2,2,1,-0.3,0.091,-0.279,-0.225,-0.215,-0.085,-0.416,-0.472,0.362,-0.13,0.87,0.076,0.836,0.782,0.75,0.606,0.988,0.994,0.02,0.644,0.366,0.26,0.39,0.492,0.524,0.788,0.024,0.014,0.078,0.632,TRUE,TRUE
"Italy",10,10,5,4,0,-0.272,0.171,0.156,0.161,0.143,-0.208,-0.223,-0.157,0.528,-0.237,0.88,0,0.268,0.252,0.274,0.658,0.876,0.784,0.002,0.858,0.266,0,0.57,0.55,0.606,0.672,0.306,0.48,0.004,0.282,TRUE,TRUE
"Latvia",10,10,2,1,1,-0.233,-0.11,0.767,0.753,0.85,-0.735,0.273,0.587,0.16,0.273,0.724,0.692,0.01,0.014,0.002,1,0.066,0.002,0.314,0.242,0.648,0.502,0.024,0.04,0.004,0,0.124,0.004,0.646,0.544,TRUE,TRUE
"Lithuania",10,10,1,1,1,-0.824,0.044,-0.529,-0.265,-0.258,-0.682,-0.294,0.368,0.324,0.5,1,0.302,0.83,0.63,0.628,0.928,0.852,0.112,0.332,0.144,0.026,0.848,0.354,0.724,0.714,0.152,0.35,0.224,0.666,0.33,TRUE,TRUE
"Luxembourg",10,10,5,5,1,-0.801,0.176,-0.574,-0.322,-0.332,-0.807,-0.644,-0.087,0.351,0.195,1,0.002,0.996,0.854,0.854,1,1,0.732,0.016,0.156,0,0.006,0.018,0.314,0.316,0,0,0.562,0.056,0.392,TRUE,TRUE
"Malta",10,10,2,1,1,-0.762,-0.176,-0.591,-0.579,-0.697,-0.71,-0.504,0.375,-0.293,-0.317,0.982,0.716,0.884,0.85,0.948,0.998,0.984,0.04,0.738,0.72,0.062,0.414,0.224,0.246,0.097,0.002,0.028,0.076,0.516,0.496,TRUE,TRUE
"Netherlands",10,10,1,1,1,-0.708,-0.099,-0.696,-0.825,-0.825,-0.965,-0.544,-0.298,-0.673,0.661,0.98,0.568,0.972,0.992,0.992,0.996,0.952,0.826,0.922,0.026,0.158,0.676,0.146,0.018,0.018,0.01,0.088,0.34,0.182,0.08,TRUE,TRUE
"Poland",10,10,1,1,1,-0.643,0.04,-0.6,-0.317,-0.317,-0.231,-0.526,-0.428,0.692,0.846,0.976,0.272,0.942,0.8,0.788,0.688,0.978,0.948,0.026,0,0.13,0.802,0.184,0.516,0.531,0.664,0.04,0.11,0.048,0.002,TRUE,TRUE
"Portugal",10,10,2,2,1,-0.656,-0.153,-0.11,0.596,0.591,-0.652,-0.419,-0.29,-0.088,0.174,0.97,0.814,0.6,0.044,0.058,0.984,0.974,0.904,0.606,0.258,0.072,0.268,0.808,0.078,0.11,0.054,0.072,0.204,0.788,0.65,TRUE,TRUE
"Romania",10,10,2,2,0,-0.442,-0.084,-0.274,0.063,0.063,-0.789,-0.316,-0.126,0.663,0.379,0.816,0.568,0.634,0.418,0.415,0.984,0.882,0.68,0.05,0.182,0.48,0.704,0.706,0.93,0.928,0.032,0.27,0.684,0.1,0.414,TRUE,TRUE
"Slovakia",10,10,1,2,1,-0.873,0.234,-0.407,-0.385,-0.431,-0.787,-0.671,0.278,-0.037,-0.298,1,0.01,0.892,0.888,0.906,1,1,0.086,0.562,0.808,0,0.026,0.24,0.232,0.194,0,0,0.19,0.916,0.33,TRUE,TRUE
"Slovenia",10,10,1,4,0,-0.223,0.277,-0.613,-0.56,-0.56,-0.115,-0.15,-0.045,0.644,0.203,0.78,0,0.984,0.954,0.952,0.626,0.746,0.568,0.01,0.26,0.556,0,0.064,0.1,0.11,0.762,0.464,0.862,0.014,0.528,TRUE,TRUE
"Sweden",10,10,1,4,0,-0.695,-0.032,-0.705,-0.516,-0.516,-0.871,-0.505,-0.147,-0.242,0.379,0.976,0.436,0.97,0.818,0.814,0.998,0.984,0.718,0.68,0.166,0.16,0.908,0.154,0.382,0.388,0.002,0.04,0.634,0.664,0.42,TRUE,TRUE
"United Kingdom",10,10,5,2,1,0.105,0.08,-0.194,-0.33,-0.33,0.089,0.041,-0.002,0.758,-0.629,0.406,0.168,0.602,0.77,0.774,0.488,0.446,0.54,0,0.98,0.822,0.454,0.704,0.402,0.393,0.88,0.87,1,0,0.044,TRUE,TRUE
"Austria",11,10,1,3,0,-0.763,0.058,-0.391,-0.388,-0.488,-0.818,-0.62,-0.189,0.465,0.027,0.998,0.146,0.926,0.914,0.962,1,1,0.872,0.008,0.42,0.002,0.494,0.188,0.198,0.078,0,0,0.254,0.01,0.93,TRUE,TRUE
"Belgium",11,10,5,5,1,-0.765,0.145,-0.126,-0.095,-0.122,-0.67,-0.679,-0.434,0.374,0.104,1,0.028,0.68,0.668,0.681,0.996,1,0.996,0.042,0.346,0,0.07,0.72,0.788,0.743,0.006,0,0.006,0.09,0.748,TRUE,TRUE
"Bulgaria",11,10,1,1,1,0.371,0.257,0.695,0.733,0.775,-0.829,0.752,0.79,-0.638,-0.581,0.4,0.076,0.094,0.084,0.036,0.984,0.002,0.002,0.87,0.818,0.638,0.296,0.196,0.166,0.048,0.042,0.004,0.002,0.284,0.3,TRUE,TRUE
"Croatia",11,10,1,1,1,-0.723,-0.206,-0.294,0.162,0.162,-0.729,-0.176,0.324,-0.309,0.691,0.976,0.782,0.704,0.428,0.439,0.924,0.726,0.132,0.648,0.028,0.152,0.344,0.694,0.806,0.817,0.194,0.57,0.27,0.702,0.116,TRUE,TRUE
"Cyprus",11,10,1,2,1,-0.544,0.288,-0.279,-0.211,-0.251,-0.583,-0.182,0.283,0.374,-0.129,0.996,0,0.89,0.802,0.85,0.988,0.878,0.05,0.016,0.726,0.01,0,0.222,0.376,0.289,0.03,0.282,0.102,0.036,0.554,TRUE,TRUE
"Czechia",11,10,1,5,0,-0.692,-0.046,-0.43,-0.379,-0.386,-0.205,-0.682,-0.6,0.418,-0.005,0.996,0.558,0.93,0.872,0.876,0.656,1,0.994,0.06,0.504,0.018,0.646,0.2,0.26,0.25,0.652,0,0.01,0.11,0.992,TRUE,TRUE
"Denmark",11,10,1,1,1,0.667,0,1,1,1,-1,0.667,0.667,0,-0.667,0.526,0.624,0.116,0.11,0.043,1,0.208,0.214,0.548,0.75,0.618,1,0.266,0.244,0.145,0.254,0.436,0.44,1,0.574,TRUE,TRUE
"Estonia",11,10,1,1,0,-0.034,0.299,-0.17,-0.254,-0.237,0.036,0.038,0.021,0.394,0.125,0.61,0.012,0.68,0.718,0.704,0.45,0.41,0.448,0.138,0.36,0.936,0.034,0.732,0.584,0.608,0.92,0.872,0.926,0.274,0.736,TRUE,TRUE
"Finland",11,10,2,5,1,-0.244,-0.011,0.144,0.262,0.193,-0.511,0.385,0.486,0.412,0.334,0.806,0.384,0.364,0.262,0.326,0.924,0.024,0.006,0.072,0.12,0.508,0.936,0.688,0.484,0.615,0.142,0.074,0.022,0.13,0.242,TRUE,TRUE
"France",11,10,2,5,0,-0.081,0.124,-0.646,-0.49,-0.515,-0.14,-0.004,-0.002,0.2,-0.122,0.644,0.002,1,0.986,0.99,0.734,0.524,0.544,0.102,0.716,0.764,0.006,0.002,0.024,0.016,0.524,0.978,0.988,0.19,0.572,TRUE,TRUE
"Germany",11,10,4,5,0,-0.837,-0.029,-0.779,-0.6,-0.6,-0.905,-0.642,-0.052,0.319,-0.213,1,0.468,1,0.978,0.978,1,1,0.618,0.136,0.726,0,0.794,0.004,0.046,0.046,0,0,0.826,0.274,0.528,TRUE,TRUE
"Greece",11,10,3,1,0,-0.645,-0.015,-0.058,-0.163,-0.181,-0.726,-0.482,-0.254,-0.051,-0.133,0.99,0.408,0.556,0.666,0.669,1,1,0.948,0.598,0.65,0.042,0.918,0.872,0.634,0.628,0,0,0.084,0.838,0.678,TRUE,TRUE
"Hungary",11,10,2,2,1,-0.733,0.273,0.093,-0.2,0.017,-0.428,-0.667,-0.473,0.107,-0.5,0.982,0.03,0.398,0.62,0.453,0.864,0.998,0.992,0.378,0.894,0.074,0.102,0.86,0.724,0.972,0.27,0.002,0.026,0.806,0.206,TRUE,TRUE
"Ireland",11,10,2,2,1,-0.318,0.064,-0.38,-0.261,-0.239,-0.048,-0.456,-0.507,0.421,-0.197,0.828,0.118,0.878,0.76,0.733,0.568,0.996,1,0.024,0.734,0.374,0.478,0.256,0.464,0.505,0.894,0.014,0.002,0.06,0.54,TRUE,TRUE
"Italy",11,10,5,4,0,-0.308,0.172,0.158,0.185,0.165,-0.187,-0.251,-0.196,0.527,-0.249,0.862,0.004,0.268,0.218,0.242,0.656,0.882,0.832,0.002,0.848,0.256,0.004,0.608,0.506,0.584,0.7,0.264,0.374,0.004,0.28,TRUE,TRUE
"Latvia",11,10,2,1,1,-0.203,0.047,0.696,0.725,0.828,-0.719,0.312,0.623,0.312,0.362,0.67,0.318,0.034,0.008,0,1,0.034,0,0.196,0.156,0.738,0.804,0.08,0.044,0.01,0,0.078,0.002,0.422,0.398,TRUE,TRUE
"Lithuania",11,10,1,1,1,-0.867,-0.017,-0.483,-0.1,-0.109,-0.639,-0.483,0.283,0.4,0.6,1,0.454,0.756,0.528,0.541,0.89,0.96,0.186,0.248,0.084,0.024,0.976,0.478,0.916,0.881,0.222,0.124,0.334,0.546,0.22,TRUE,TRUE
"Luxembourg",11,10,5,5,1,-0.802,0.226,-0.581,-0.324,-0.331,-0.802,-0.662,-0.125,0.372,0.158,1,0,0.978,0.862,0.86,1,1,0.796,0.026,0.264,0,0,0.042,0.316,0.308,0,0,0.434,0.048,0.528,TRUE,TRUE
"Malta",11,10,2,1,1,-0.765,-0.124,-0.608,-0.634,-0.725,-0.686,-0.542,0.268,-0.333,-0.333,0.976,0.628,0.876,0.864,0.927,0.996,0.994,0.11,0.724,0.716,0.086,0.642,0.264,0.226,0.107,0.01,0.016,0.232,0.526,0.54,TRUE,TRUE
"Netherlands",11,10,1,1,1,-0.791,-0.15,-0.778,-0.804,-0.804,-0.961,-0.634,-0.32,-0.686,0.634,0.992,0.634,0.992,0.992,0.992,1,0.982,0.852,0.91,0.05,0.076,0.542,0.07,0.044,0.046,0.004,0.04,0.31,0.21,0.158,TRUE,TRUE
"Poland",11,10,1,1,1,-0.68,-0.027,-0.62,-0.34,-0.34,-0.167,-0.587,-0.513,0.733,0.84,0.976,0.436,0.942,0.754,0.747,0.58,0.998,0.994,0.03,0.002,0.096,0.898,0.166,0.546,0.558,0.796,0.016,0.026,0.054,0.004,TRUE,TRUE
"Portugal",11,10,2,2,1,-0.687,-0.264,-0.099,0.595,0.594,-0.628,-0.444,-0.297,-0.039,0.274,0.984,0.976,0.59,0.06,0.066,0.97,0.974,0.914,0.542,0.23,0.062,0.048,0.854,0.11,0.125,0.082,0.044,0.18,0.916,0.51,TRUE,TRUE
"Romania",11,10,2,2,0,-0.462,-0.076,-0.45,-0.064,-0.064,-0.766,-0.357,-0.146,0.661,0.474,0.824,0.52,0.81,0.518,0.518,0.97,0.892,0.694,0.1,0.142,0.466,0.748,0.406,0.928,0.936,0.064,0.264,0.666,0.176,0.35,TRUE,TRUE
"Slovakia",11,10,1,2,1,-0.885,0.205,-0.459,-0.418,-0.473,-0.776,-0.654,0.282,0.005,-0.264,1,0.026,0.904,0.872,0.906,0.998,1,0.084,0.444,0.736,0,0.096,0.264,0.292,0.234,0.004,0,0.196,0.984,0.47,TRUE,TRUE
